"county","month_num","month","newCaseCount"
"Denver",1,2020-03-01,539
"Arapahoe",1,2020-03-01,333
"Jefferson",1,2020-03-01,304
"Elbert",1,2020-03-01,286
"Weld",1,2020-03-01,255
"Denver",2,2020-04-01,2462
"Arapahoe",2,2020-04-01,2139
"Weld",2,2020-04-01,1521
"Adams",2,2020-04-01,1404
"Jefferson",2,2020-04-01,1034
"Denver",3,2020-05-01,2774
"Arapahoe",3,2020-05-01,1922
"Adams",3,2020-05-01,1673
"Jefferson",3,2020-05-01,883
"Elbert",3,2020-05-01,800
"Denver",4,2020-06-01,1316
"Adams",4,2020-06-01,927
"Arapahoe",4,2020-06-01,808
"Elbert",4,2020-06-01,642
"Jefferson",4,2020-06-01,461
"Denver",5,2020-07-01,2532
"Elbert",5,2020-07-01,2099
"Adams",5,2020-07-01,1772
"Arapahoe",5,2020-07-01,1675
"Jefferson",5,2020-07-01,1192
"Denver",6,2020-08-01,1642
"Adams",6,2020-08-01,1550
"Elbert",6,2020-08-01,1545
"Arapahoe",6,2020-08-01,1219
"Jefferson",6,2020-08-01,918
"Boulder",7,2020-09-01,2135
"Denver",7,2020-09-01,2094
"Adams",7,2020-09-01,1852
"Arapahoe",7,2020-09-01,1321
"Jefferson",7,2020-09-01,1053
"Denver",8,2020-10-01,6082
"Adams",8,2020-10-01,5857
"Arapahoe",8,2020-10-01,4228
"Elbert",8,2020-10-01,3942
"Jefferson",8,2020-10-01,3458
"Denver",9,2020-11-01,17263
"Elbert",9,2020-11-01,16293
"Adams",9,2020-11-01,14449
"Arapahoe",9,2020-11-01,13583
"Jefferson",9,2020-11-01,11407
"Elbert",10,2020-12-01,14025
"Denver",10,2020-12-01,10941
"Arapahoe",10,2020-12-01,10733
"Adams",10,2020-12-01,10252
"Jefferson",10,2020-12-01,8855
"Denver",11,2021-01-01,8089
"Arapahoe",11,2021-01-01,7066
"Elbert",11,2021-01-01,6555
"Adams",11,2021-01-01,5818
"Jefferson",11,2021-01-01,5028
"Elbert",12,2021-02-01,4198
"Denver",12,2021-02-01,3850
"Arapahoe",12,2021-02-01,3436
"Adams",12,2021-02-01,2678
"Jefferson",12,2021-02-01,2609
"Denver",13,2021-03-01,4794
"Elbert",13,2021-03-01,4632
"Arapahoe",13,2021-03-01,3507
"Jefferson",13,2021-03-01,3189
"Adams",13,2021-03-01,2949
"Elbert",14,2021-04-01,7279
"Denver",14,2021-04-01,6066
"Arapahoe",14,2021-04-01,5662
"Adams",14,2021-04-01,4842
"Jefferson",14,2021-04-01,4688
"Elbert",15,2021-05-01,6514
"Arapahoe",15,2021-05-01,3837
"Adams",15,2021-05-01,3567
"Jefferson",15,2021-05-01,2884
"Denver",15,2021-05-01,2674
"Elbert",16,2021-06-01,2968
"Mesa",16,2021-06-01,1343
"Arapahoe",16,2021-06-01,1330
"Denver",16,2021-06-01,1249
"Adams",16,2021-06-01,1117
"Elbert",17,2021-07-01,2863
"Denver",17,2021-07-01,1743
"Arapahoe",17,2021-07-01,1632
"Adams",17,2021-07-01,1547
"Jefferson",17,2021-07-01,1292
"Elbert",18,2021-08-01,6290
"Denver",18,2021-08-01,4650
"Arapahoe",18,2021-08-01,4363
"Adams",18,2021-08-01,3978
"Jefferson",18,2021-08-01,3351
"Elbert",19,2021-09-01,9303
"Arapahoe",19,2021-09-01,5160
"Denver",19,2021-09-01,5076
"Jefferson",19,2021-09-01,4635
"Weld",19,2021-09-01,4391
"Elbert",20,2021-10-01,10684
"Denver",20,2021-10-01,6374
"Arapahoe",20,2021-10-01,6206
"Jefferson",20,2021-10-01,5787
"Adams",20,2021-10-01,5540
"Elbert",21,2021-11-01,11956
"Denver",21,2021-11-01,9760
"Jefferson",21,2021-11-01,8974
"Arapahoe",21,2021-11-01,8926
"Adams",21,2021-11-01,8057
"Denver",22,2021-12-01,15609
"Arapahoe",22,2021-12-01,12926
"Elbert",22,2021-12-01,11180
"Jefferson",22,2021-12-01,9588
"Adams",22,2021-12-01,9108
"Elbert",23,2022-01-01,42674
"Denver",23,2022-01-01,39784
"Arapahoe",23,2022-01-01,38280
"Adams",23,2022-01-01,29811
"Jefferson",23,2022-01-01,29133
